Id,title,original_language,vote_count,vote_average
0,Ad Astra,en,2853,5.9
1,Bloodshot,en,1349,7.2
2,Bad Boys for Life,en,2530,7.1
3,Ant-Man,en,13611,7.1
4,Percy Jackson: Sea of Monsters,en,3542,5.9
5,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,2639,7.1
6,Live Free or Die Hard,en,3714,6.5
7,Cold Blood,fr,119,5.1
8,Underwater,en,584,6.5
9,The Platform,es,1924,7.2
10,Jumanji: The Next Level,en,2974,6.8
11,The Twilight Saga: Eclipse,en,5687,6.1
12,Sonic the Hedgehog,en,2066,7.4
13,Star Wars: The Rise of Skywalker,en,3800,6.5
14,Onward,en,956,8
15,Emma.,en,148,7.1
16,Pocahontas II: Journey to a New World,en,845,5.3
17,Lara Croft: Tomb Raider - The Cradle of Life,en,2896,5.7
18,The Invisible Man,en,1249,7.2
19,Blood Father,en,946,6.1
20,A Rainy Day in New York,en,783,6.6
21,Joker,en,10914,8.2
22,Miracle in Cell No. 7,tr,1639,8.4
23,The Hunt,en,376,6.9
24,Transformers: The Last Knight,en,3761,6
25,Parasite,ko,6046,8.5
26,F#*@BOIS,tl,6,7.9
27,Pretty Little Stalker,en,2,4.5
28,Dolittle,en,1093,6.8
29,Frozen II,en,3626,7.1
30,Harry Potter and the Deathly Hallows: Part 2,en,13267,8.1
31,Cars,en,8997,6.8
32,Teen Titans: The Judas Contract,en,301,7.2
33,Digimon Adventure: Last Evolution Kizuna,ja,7,4.8
34,Contagion,en,3163,6.5
35,30 Days of Night: Dark Days,en,264,4.8
36,The Traitor,it,509,7.8
37,Trolls World Tour,en,40,8.4
38,Harry Potter and the Philosopher's Stone,en,16220,7.9
39,1917,en,4039,7.9
40,Harry Potter and the Deathly Hallows: Part 1,en,12395,7.8
41,The Gentlemen,en,723,7.8
42,Coffee & Kareem,en,62,5.2
43,Aladdin,en,5357,7.1
44,Brahms: The Boy II,en,208,6.3
45,The Naked Gun: From the Files of Police Squad!,en,2084,7.2
46,The Lion King,en,5171,7.1
47,Interstellar,en,21589,8.3
48,John Wick: Chapter 3 - Parabellum,en,4327,7.2
49,Knives Out,en,3325,7.8
50,John Wick,en,12153,7.2
51,The Call of the Wild,en,389,6.8
52,Milea: Suara dari Dilan,id,14,5.5
53,Kamen Rider Reiwa: The First Generation,ja,2,5.5
54,Just Mercy,en,422,8.1
55,Jurassic World: Fallen Kingdom,en,7226,6.5
56,The Coma,ru,15,5.9
57,Tales from the Darkside: The Movie,en,173,6.1
58,Journey to China: The Mystery of Iron Mask,ru,46,5.4
59,Escape from Pretoria,en,76,6.6
60,Atlantis: The Lost Empire,en,2990,6.9
61,Spider-Man: Far from Home,en,6658,7.6
62,Fast & Furious Presents: Hobbs & Shaw,en,3058,6.7
63,Avengers: Infinity War,en,17408,8.3
64,Star Wars,en,13223,8.2
65,Geostorm,en,2700,5.8
66,Ford v Ferrari,en,2235,7.8
67,Little Women,en,1689,7.9
68,I Still Believe,en,54,7.4
69,Harry Potter and the Chamber of Secrets,en,13662,7.7
70,13 Hours: The Secret Soldiers of Benghazi,en,1885,7.1
71,Dragon Ball Z: Fusion Reborn,ja,387,7.4
